Algoritmo,Tamanho,Distribuição,Tempo (s),Comparações,Trocas,Memória (Bytes)
Bubble Sort,1000,aleatorio,0.219519,498069,254780,192
Merge Sort,1000,aleatorio,0.003905,8700,10976,18728
Quick Sort,1000,aleatorio,0.006856,10764,6341,1824
Heap Sort,1000,aleatorio,0.003421,16791,9044,512
Bubble Sort,1000,ordenado,0.000304,999,0,184
Merge Sort,1000,ordenado,0.003555,4932,10976,18088
Quick Sort,1000,ordenado,0.007486,10139,6427,1888
Heap Sort,1000,ordenado,0.003396,17583,9708,512
Bubble Sort,1000,inverso,0.337908,499500,499500,280
Merge Sort,1000,inverso,0.00319,5044,10976,18088
Quick Sort,1000,inverso,0.007917,12376,7671,1984
Heap Sort,1000,inverso,0.003329,15965,8316,512
Bubble Sort,1000,repetidos,0.053185,473394,198190,88
Merge Sort,1000,repetidos,0.00314,8169,10976,18080
Quick Sort,1000,repetidos,0.102997,103230,104046,13832
Heap Sort,1000,repetidos,0.002555,14104,7236,512
Bubble Sort,10000,aleatorio,27.592022,49983372,25373851,248
Merge Sort,10000,aleatorio,0.072424,120533,143616,170304
Quick Sort,10000,aleatorio,0.108239,147155,89108,2336
Heap Sort,10000,aleatorio,0.046171,235285,124096,512
Bubble Sort,10000,ordenado,0.003795,9999,0,184
Merge Sort,10000,ordenado,0.074511,64608,143616,169928
Quick Sort,10000,ordenado,0.108417,154428,84688,2536
Heap Sort,10000,ordenado,0.049586,244460,131956,512
Bubble Sort,10000,inverso,43.976657,49995000,49995000,280
Merge Sort,10000,inverso,0.075002,69008,143616,169928
Quick Sort,10000,inverso,0.114447,159325,104404,2696
Heap Sort,10000,inverso,0.043609,226682,116696,512
Bubble Sort,10000,repetidos,6.068984,48005985,19950204,88
Merge Sort,10000,repetidos,0.043549,111246,143616,169792
Quick Sort,10000,repetidos,101.069837,10028578,10036564,130768
Heap Sort,10000,repetidos,0.037054,196156,99838,512
Merge Sort,100000,aleatorio,1.106398,1536219,1768928,1728336
Quick Sort,100000,aleatorio,1.512855,2091845,1318728,3176
Heap Sort,100000,aleatorio,0.639285,3019576,1575123,512
Merge Sort,100000,ordenado,1.132294,815024,1768928,1728008
Quick Sort,100000,ordenado,1.417077,2038707,1252499,3048
Heap Sort,100000,ordenado,0.604445,3112517,1650854,512
Merge Sort,100000,inverso,1.138714,853904,1768928,1728008
Quick Sort,100000,inverso,1.349185,1977820,1204651,2984
Heap Sort,100000,inverso,0.550477,2926640,1497434,512
Merge Sort,100000,repetidos,0.48987,1412865,1768928,1727680
Heap Sort,100000,repetidos,0.461357,2469349,1251944,512
Merge Sort,1000000,aleatorio,15.101218,18674228,20951424,16784904
Quick Sort,1000000,aleatorio,17.604353,25211686,13674865,3464
Heap Sort,1000000,aleatorio,8.559455,36795164,19048934,512
Merge Sort,1000000,ordenado,14.017082,9884992,20951424,16784712
Quick Sort,1000000,ordenado,17.30852,25862716,13035269,3784
Heap Sort,1000000,ordenado,7.319306,37692069,19787792,512
Merge Sort,1000000,inverso,13.805406,10066432,20951424,16784712
Quick Sort,1000000,inverso,16.412393,24479980,14049223,3656
Heap Sort,1000000,inverso,6.844477,36001436,18333408,512
Merge Sort,1000000,repetidos,5.582444,17128925,20951424,16784288
Heap Sort,1000000,repetidos,5.6239,29758744,15046240,512
